"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-01","7.1",",,W",,,"9.7",",,W,2400","0.0",",,W",,,"8.4","H,,S","15.0",",,W","1.1",",,W","  290",",,W","  290",",,W","15.7",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-02","4.2",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"0.8","H,,S","2.8",",,W","-2.1",",,W","  310",",,W","  330",",,W","8.1",",,W","10.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-03","4.7",",,W",,,"0.5",",,W,2400","0.0","T,,W",,,"3.1","H,,S","7.8",",,W","0.0",",,W","  320",",,W","  320",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-04","5.0",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"4.6","H,,S","8.9",",,W","1.1",",,W","  230",",,W","  220",",,W","10.7",",,W","13.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-05","4.1",",,W",,,"13.5",",,W,2400","0.0",",,W",,,"5.0","H,,S","6.1",",,W","3.3",",,W","  360",",,W","  360",",,W","8.1",",,W","9.8",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-06","6.4",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"4.2","H,,S","8.3",",,W","-3.8",",,W","  310",",,W","  310",",,W","13.4",",,W","18.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-07","5.2",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-3.3","H,,S","-0.5",",,W","-7.1",",,W","  320",",,W","  310",",,W","13.0",",,W","17.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-08","3.4",",,W",,,"0.5",",,W,2400","0.0","T,,W",,,"1.2","H,,S","6.1",",,W","-1.0",",,W","  160",",,W","  160",",,W","7.6",",,W","9.4",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-09","7.0",",,W",,,"3.3",",,W,2400","0.0",",,W",,,"4.4","H,,S","7.8",",,W","1.7",",,W","  270",",,W","  270",",,W","13.0",",,W","17.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-10","7.2",",,W",,,"0.0","T,,W,2400","0.0","T,,W",,,"2.1","H,,S","2.8",",,W","-3.2",",,W","  290",",,W","  330",",,W","11.2",",,W","15.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-11","8.1",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-2.9","H,,S","-1.0",",,W","-8.2",",,W","  320",",,W","  310",",,W","12.5",",,W","15.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-12","6.6",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-6.4","H,,S","-1.6",",,W","-9.3",",,W","  290",",,W","  290",",,W","10.7",",,W","14.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-13","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-5.7","H,,S","-1.6",",,W","-8.8",",,W","  320",",,W","  310",",,W","7.2",",,W","8.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-14","3.9",",,W",,,"0.0","T,,W,2400","0.0","T,,W",,,"-3.1","H,,S","-0.5",",,W","-4.9",",,W","  360",",,W","  360",",,W","7.2",",,W","8.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-15","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-1.2","H,,S","3.9",",,W","-4.3",",,W","  320",",,W","  320",",,W","6.7",",,W","8.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-16","5.2",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-0.1","H,,S","5.0",",,W","-3.8",",,W","  240",",,W","  290",",,W","8.9",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-17","4.3",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-2.7","H,,S","0.6",",,W","-7.7",",,W","  330",",,W","  330",",,W","8.9",",,W","11.6",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-18","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"0.2","H,,S","6.1",",,W","-2.7",",,W","  240",",,W","  230",",,W","6.7",",,W","8.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-19","5.4",",,W",,,"3.3",",,W,2400","13.0",",,W",,,"0.4","H,,S","2.8",",,W","-2.1",",,W","   80",",,W","   80",",,W","11.2",",,W","13.4",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-20","8.0",",,W",,,"30.5",",,W,2400","28.0",",,W",,,"-1.3","H,,S","2.8",",,W","-12.1",",,W","   70",",,W","  300",",,W","14.3",",,W","18.3",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W","    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-21","9.0",",,W",,,"0.0","T,,W,2400","0.0","T,,W",,,"-12.6","H,,S","-12.1",",,W","-14.9",",,W","  290",",,W","  320",",,W","13.0",",,W","18.3",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-22","6.3",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-9.8","H,,S","-2.1",",,W","-13.8",",,W","  290",",,W","  290",",,W","11.6",",,W","16.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-23","6.1",",,W",,,"0.0","T,,W,2400","0.0",",,W",,,"-1.4","H,,S","8.9",",,W","-6.6",",,W","  220",",,W","  230",",,W","10.7",",,W","13.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-24","10.6",",,W",,,"25.4",",,W,2400","0.0",",,W",,,"11.1","H,,S","15.0",",,W","2.8",",,W","  180",",,W","  190",",,W","17.4",",,W","23.7",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-25","6.1",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"3.9","H,,S","5.6",",,W","-1.6",",,W","  280",",,W","  270",",,W","11.2",",,W","14.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-26","3.8",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-0.9","H,,S","2.2",",,W","-3.8",",,W","  220",",,W","  230",",,W","7.6",",,W","9.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-27","5.9",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"1.7","H,,S","8.3",",,W","-2.7",",,W","  190",",,W","  190",",,W","11.6",",,W","14.8",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-28","4.5",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"1.1","H,,S","5.6",",,W","-4.3",",,W","  320",",,W","  320",",,W","8.1",",,W","10.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-29","5.6",",,W",,,"1.3",",,W,2400","0.0","T,,W",,,"-2.4","H,,S","3.3",",,W","-6.6",",,W","  120",",,W","  120",",,W","8.9",",,W","10.3",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-30","7.1",",,W",,,"4.1",",,W,2400","13.0",",,W",,,"0.7","H,,S","3.9",",,W","-12.7",",,W","  270",",,W","  270",",,W","14.8",",,W","19.7",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01-31","7.7",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-10.9","H,,S","-7.7",",,W","-14.9",",,W","  260",",,W","  280",",,W","11.2",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-01","5.9",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-8.9","H,,S","-4.9",",,W","-12.1",",,W","  260",",,W","  250",",,W","9.8",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-02","5.7",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-5.5","H,,S","1.7",",,W","-9.9",",,W","  220",",,W","  250",",,W","11.2",",,W","14.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-03","2.8",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"1.0","H,,S","3.9",",,W","-2.7",",,W","  200",",,W","  210",",,W","6.3",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-04","4.2",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"7.1","H,,S","17.2",",,W","1.7",",,W","  220",",,W","  210",",,W","7.2",",,W","9.8",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-05","5.4",",,W",,,"0.0","T,,W,2400","0.0",",,W",,,"10.7","H,,S","18.3",",,W","4.4",",,W","  290",",,W","  280",",,W","8.9",",,W","12.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-06","4.5",",,W",,,"9.4",",,W,2400","0.0",",,W",,,"4.2","H,,S","6.7",",,W","0.6",",,W","  320",",,W","  330",",,W","7.2",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-07","4.3",",,W",,,"5.3",",,W,2400","0.0",",,W",,,"3.3","H,,S","5.6",",,W","1.7",",,W","   50",",,W","   40",",,W","8.1",",,W","10.3",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-08","5.9",",,W",,,"1.8",",,W,2400","0.0",",,W",,,"6.1","H,,S","13.9",",,W","-0.5",",,W","  280",",,W","  270",",,W","14.8",",,W","19.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-09","8.8",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-0.4","H,,S","2.2",",,W","-3.8",",,W","  300",",,W","  280",",,W","13.9",",,W","19.2",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-10","5.5",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-1.2","H,,S","2.8",",,W","-4.3",",,W","  270",",,W","  270",",,W","8.9",",,W","11.2",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-11","4.7",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-0.1","H,,S","2.8",",,W","-3.2",",,W","  330",",,W","  330",",,W","8.1",",,W","10.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-12","6.3",",,W",,,"23.1",",,W,2400","61.0",",,W",,,"-3.3","H,,S","3.3",",,W","-7.1",",,W","   90",",,W","   90",",,W","11.2",",,W","14.3",",,W","    1",",,W","    1",",,W",,,"    1",",,W",,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-13","6.0",",,W",,,"7.1",",,W,2400","3.0",",,W",,,"3.3","H,,S","6.1",",,W","0.6",",,W","  290",",,W","  290",",,W","11.2",",,W","14.3",",,W","    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-14","6.1",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"1.8","H,,S","4.4",",,W","-0.5",",,W","  290",",,W","  300",",,W","13.0",",,W","17.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-15","5.1",",,W",,,"2.5",",,W,2400","0.0",",,W",,,"4.4","H,,S","11.1",",,W","-0.5",",,W","  210",",,W","  220",",,W","10.7",",,W","13.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-16","5.4",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"6.2","H,,S","9.4",",,W","-0.5",",,W","  310",",,W","  300",",,W","8.1",",,W","11.2",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-17","4.3",",,W",,,"0.0",",,W,2400","0.0","T,,W",,,"-0.9","H,,S","1.1",",,W","-4.3",",,W","  320",",,W","  320",",,W","9.8",",,W","12.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-18","4.6",",,W",,,"7.9",",,W,2400","91.0",",,W",,,"-1.0","H,,S","0.0",",,W","-6.0",",,W","  320",",,W","  330",",,W","11.6",",,W","14.8",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-19","6.0",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-4.1","H,,S","1.1",",,W","-7.7",",,W","  290",",,W","  280",",,W","10.3",",,W","13.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-20","3.6",",,W",,,"2.5",",,W,2400","20.0",",,W",,,"-3.6","H,,S","-0.5",",,W","-6.0",",,W","  290",",,W","  250",",,W","6.7",",,W","8.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-21","4.6",",,W",,,"10.7",",,W,2400","33.0",",,W",,,"1.3","H,,S","8.9",",,W","-3.2",",,W","  280",",,W","  280",",,W","10.7",",,W","13.0",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W","    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-22","4.0",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"5.3","H,,S","7.8",",,W","2.2",",,W","  350",",,W","  340",",,W","7.2",",,W","10.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-23","2.9",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"1.8","H,,S","3.3",",,W","-1.0",",,W","  320",",,W","  110",",,W","5.4",",,W","6.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-24","6.2",",,W",,,"12.2",",,W,2400","0.0",",,W",,,"3.7","H,,S","8.3",",,W","1.1",",,W","  290",",,W","  290",",,W","11.6",",,W","17.4",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02-25","10.3",",,W",,,"0.0","T,,W,2400","0.0","T,,W",,,"4.1","H,,S","5.6",",,W","-1.0",",,W","  270",",,W","  260",",,W","19.2",",,W","24.6",",,W",,,,,,,,,,,,,"    1",",,W",,
